SNo,District Code,Block Code,FTO No.,Financial Institution,Signatory Date,No of Transaction,Amount(In Rs.),No of Transaction Processed,Amount(In Rs.),No of Transaction Rejected,Amount(In Rs.),Total Processed Amount(In Rs.),No of Invalid Account
223,212,212011,AP0212011_120422APB_FTO_11140,Bank,13-04-2022,1,2620,51,2620,0,0,2620,0
224,212,212004,AP0212004_120422FTO_11203,Bank,12-04-2022,1,10608,9,10608,0,0,10608,0
225,212,212004,AP0212004_120422APB_FTO_11221,Bank,12-04-2022,1,51336,45,51336,0,0,51336,0
226,212,212023,AP0212023_120422FTO_11328,Bank,12-04-2022,1,11222,17,11222,0,0,11222,0
227,212,212023,AP0212023_120422APB_FTO_11385,Bank,12-04-2022,1,133921,188,133438,1,483,133438,0
228,212,212009,AP0212009_120422FTO_11446,Bank,12-04-2022,1,40361,66,40361,0,0,40361,0
229,212,212019,AP0212019_120422FTO_11489,Bank,13-04-2022,1,2162,3,2162,0,0,2162,0
230,212,212009,AP0212009_120422APB_FTO_11500,Bank,12-04-2022,1,498081,795,496090,3,1991,496090,0
231,212,212019,AP0212019_120422APB_FTO_11500,Bank,13-04-2022,1,57494,100,54602,6,2892,54602,0
232,212,212028,AP0212028_120422FTO_11527,Bank,12-04-2022,1,52014,48,52014,0,0,52014,0
233,212,212022,AP0212022_120422FTO_11560,Bank,12-04-2022,1,76207,76,75989,2,218,75989,0
234,212,212021,AP0212021_120422FTO_11567,Bank,12-04-2022,1,27229,23,27229,0,0,27229,0
235,212,212020,AP0212020_120422FTO_11575,Bank,12-04-2022,1,4347,6,4347,0,0,4347,0
236,212,212020,AP0212020_120422APB_FTO_11589,Bank,12-04-2022,1,102875,115,101100,2,1775,101100,0
237,212,212022,AP0212022_120422APB_FTO_11593,Bank,12-04-2022,1,219920,316,216509,4,3411,216509,0
238,212,212001,AP0212001_120422FTO_11594,Bank,12-04-2022,1,19644,29,19644,0,0,19644,0
239,212,212028,AP0212028_120422APB_FTO_11595,Bank,12-04-2022,1,738344,720,736368,2,1976,736368,0
240,212,212021,AP0212021_120422APB_FTO_11600,Bank,12-04-2022,1,195050,168,193254,2,1796,193254,0
241,212,212001,AP0212001_120422APB_FTO_11643,Bank,12-04-2022,1,249937,363,248381,2,1556,248381,0
242,212,212034,AP0212034_120422APB_FTO_11656,Bank,12-04-2022,1,28320,36,27274,1,1046,27274,0
243,212,212034,AP0212034_120422FTO_11661,Bank,12-04-2022,1,8545,9,8545,0,0,8545,0
244,212,212034,AP0212034_120422FTO_11685,Bank,12-04-2022,1,10913,9,10913,0,0,10913,0
245,212,212034,AP0212034_120422APB_FTO_11700,Bank,12-04-2022,1,47295,59,46795,1,500,46795,0
246,212,212034,AP0212034_120422APB_FTO_11710,Bank,12-04-2022,1,48202,45,48202,0,0,48202,0
247,212,212002,AP0212002_120422FTO_11786,Bank,12-04-2022,1,79968,97,78967,1,1001,78967,0
248,212,212010,AP0212010_120422FTO_11809,Bank,12-04-2022,1,48371,45,47313,1,1058,47313,0
249,212,212021,AP0212021_120422FTO_11830,Bank,12-04-2022,1,18768,15,18768,0,0,18768,0
250,212,212010,AP0212010_120422APB_FTO_11837,Bank,12-04-2022,1,215080,205,213002,2,2078,213002,0
